시도,구시군,시장명,시장주소,2010_개설주기,2010_등록_인정 여부,2010_영업점포,2010_공동화장실 보유여부,2010_고객 주차장 보유여부
서울,서대문구,서중시장,서울 서대문구 남가좌동 286-35,상설,등록,56,보유,미보유
서울,서대문구,(주)연희사러가,서울 서대문구 연희동 131-1,상설,등록,48,보유,보유
서울,서대문구,유진상가,서울 서대문구 홍은동 48-84,상설,등록,102,보유,미보유
서울,서대문구,인왕시장,서울 서대문구 홍제동 298,상설,등록,192,보유,미보유
서울,마포구,공덕시장,서울 마포구 공덕동 256-10.11.43.44,상설,등록,20,보유,미보유
서울,마포구,동진시장,"서울 마포구 연남동 227-15,38",상설,등록,12,보유,미보유
서울,마포구,마포시장,"서울 마포구 공덕동 256-30, 256-5",상설,등록,62,보유,미보유
서울,마포구,망원동 월드컵시장,서울 마포구 망원동 423/425/479/483,상설,인정,51,미보유,미보유
서울,마포구,망원시장,서울 마포구 망원동 411/412/414/486,상설,인정,67,미보유,보유
서울,마포구,서교시장,서울 마포구 서교동 357-1,상설,등록,19,보유,보유
서울,마포구,신촌상가,서울 마포구 노구산동 49-55,상설,등록,102,보유,미보유
서울,마포구,염리시장,서울 마포구 염리동 36-249,상설,등록,11,보유,미보유
서울,마포구,합정시장,서울 마포구 합정동 375-1,상설,등록,33,보유,미보유
서울,마포구,마포농수산물시장,서울 마포구 성산2동 533-1,상설,등록,135,보유,보유
서울,양천구,목4동시장,서울 양천구 목4동 738-1,상설,인정,73,미보유,미보유
서울,양천구,신곡종합시장,서울 양천구 신월6동 575-17,상설,등록,12,보유,보유
서울,양천구,신영시장,서울 양천구 신월1동 113번지,상설,인정,105,미보유,보유
서울,양천구,경창시장,서울 양천구 신월동 446번지,상설,인정,68,미보유,미보유
서울,양천구,양천구목2동시장,서울 양천구 목2동 526번지,상설,인정,104,미보유,미보유
서울,양천구,목3동시장(구 등촌시장),서울 양천구 목동 610-19,상설,인정,79,미보유,미보유
서울,강서구,까치산시장,서울 강서구 화곡8동 341-69,상설,인정,130,미보유,미보유
서울,강서구,대원종합시장,서울 강서구 화곡3동 1023번지,상설,등록,28,보유,보유
서울,강서구,남부골목시장,서울 강서구 화곡7동 802-19,상설,인정,165,보유,미보유
서울,강서구,방신재래시장,서울 강서구 방화동 567-23,상설,인정,95,미보유,미보유
서울,강서구,신월중앙시장,서울 강서구 화곡동 929-1,상설,등록,11,보유,보유
서울,강서구,화곡중앙골목시장,서울 강서구 화곡7동 370-37,상설,인정,69,미보유,미보유
서울,구로구,개봉중앙시장,서울 구로구 개봉동 324-1,상설,등록,24,보유,미보유
서울,구로구,구로시장,서울 구로구 구로동 736-1,상설,등록,201,보유,미보유
서울,구로구,구로자율시장,서울 구로구 구로4동 730-66,상설,인정,112,보유,미보유
서울,금천구,남문시장,서울 금천구 독산본동 984-10호,상설,인정,121,보유,보유
서울,금천구,현대시장,서울 금천구 시흥본동 848-31,상설,인정,174,미보유,미보유
서울,영등포구,(주)사러가(주)신영사러가,서울 영등포구 신길3동 254-1번지/255-9,상설,등록,57,보유,보유
서울,영등포구,대림시장,서울 영등포구 대림동 965-12,상설,등록,28,보유,보유
서울,영등포구,대림중앙시장,서울 영등포구 대림2가 1075-47,상설,인정,98,미보유,미보유
서울,영등포구,대신시장,서울 영등포구 신길1동 116-15번지,상설,등록,145,보유,미보유
서울,영등포구,도림시장,서울 영등포구 도림동 176,상설,등록,13,보유,보유
서울,영등포구,동남상가,서울 영등포구 영등포동 5가 24번지,상설,등록,73,보유,미보유
서울,영등포구,삼구시장,서울 영등포구 영등포동 5가 19번지,상설,등록,57,보유,미보유
서울,영등포구,양남시장,서울 영등포구 양평동1가 30번지,상설,등록,12,보유,미보유
서울,영등포구,영신상가(영등포시장),서울 영등포구 영등포동 5가 18번지,상설,등록,145,보유,미보유
서울,영등포구,영일시장,서울 영등포구 문래동 3가 10번지,상설,등록,248,보유,미보유
서울,영등포구,영등포기계상가,서울 영등포구 양평동1가 247번지,상설,등록,290,보유,보유
서울,동작구,강남시장,서울 동작구 상도동 488,상설,등록,21,보유,미보유
서울,동작구,사당시장,서울 동작구 사당동 318-8일대,상설,등록,22,보유,보유
서울,동작구,영도시장,서울 동작구 상도동 176-2일대,상설,등록,60,보유,보유
서울,관악구,관악종합시장,서울 관악구 신원동 1602-1,상설,등록,50,보유,미보유
서울,관악구,동방종합시장,서울 관악구 대학동 1523,상설,등록,22,보유,보유
서울,관악구,봉천제일시장(영림시장),서울 관악구 청룡동 921-1,상설,등록,25,보유,미보유
서울,관악구,봉천중앙시장,서울 관악구 중앙동 32-2,상설,등록,54,보유,보유
서울,관악구,봉천현대시장,서울 관악구 은천동 502-4,상설,등록,38,보유,미보유
서울,관악구,신림종합시장,서울 관악구 신사동 505-1,상설,등록,22,보유,미보유
서울,관악구,신림중앙시장,서울 관악구 조원동 541번지,상설,등록,110,보유,보유
서울,관악구,우림시장,서울 관악구 난곡동 637-1,상설,등록,30,보유,보유
서울,관악구,관악신사시장,서울 관악구 신림4동 503,상설,인정,100,미보유,미보유
서울,관악구,신원시장,서울 관악구 신림1동 1587,상설,인정,120,미보유,보유
서울,관악구,인헌시장,서울 관악구 봉천11동 1638-22,상설,인정,66,미보유,미보유
서울,관악구,펭귄시장,서울 관악구 신림8동 540,상설,인정,54,미보유,미보유
서울,송파구,마천시장,서울 송파구 마천동 140-2,상설,등록,146,보유,미보유
서울,강동구,둔촌역재래시장,서울 강동구 성내3동 428-9,상설,인정,83,보유,미보유
서울,강동구,암사종합시장,서울 강동구 암사1동 500-17,상설,인정,117,보유,미보유
서울,강동구,천호시장,서울 강동구 천호동 421-1,상설,등록,32,보유,미보유
서울,강동구,동서울시장,서울 강동구 천호동 421-3,상설,등록,100,보유,미보유
서울,강동구,천호신시장,서울 강동구 천호동 422-2,상설,등록,69,보유,미보유
부산,중구,(사)보수종합시장,부산 중구 보수동 3가 46-1,상설,등록,82,보유,미보유
부산,중구,(사)부산데파트,부산 중구 동광동 1가 1,상설,등록,96,보유,보유
